school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
X092,0.2049,0.7869,0.0102,0.9529,0.1926,0.0102,0.0143,0.1783,All Grades,275,No,0.14864864864864866,Minority,Hispanic
X098,0.2442,0.6589,0.0039,0.9457,0.2674,0.0194,0.0116,0.30620000000000003,All Grades,275,No,0.2727272727272727,Minority,Hispanic
X129,0.2079,0.6344,0.0036,0.8817,0.2742,0.0143,0.0269,0.3208,All Grades,286,No,0.05472636815920398,Minority,Hispanic
X134,0.1086,0.506,0.0015,0.9524,0.1339,0.0253,0.0074,0.4598,All Grades,278,No,0.08,Minority,Hispanic
X150,0.2285,0.7758,0.0097,0.9378,0.1835,0.0107,0.0086,0.1953,All Grades,288,No,0,Minority,Hispanic
X190,0.0766,0.7137,0,0.8911,0.2218,0.0081,0.0161,0.2621,All Grades,284,NA,NA,Minority,Hispanic
X195,0.243,0.7725,0.0114,1,0.1965,0.0031,0.0279,0.1851,All Grades,264,NA,NA,Minority,Hispanic
X196,0.2543,0.7671,0.0368,1,0.1593,0.0082,0.0082,0.1798,All Grades,277,NA,NA,Minority,Hispanic
X211,0.2532,0.8583,0.0048,0.9459,0.1943,0.0032,0.0016,0.1322,All Grades,286,No,0.17307692307692307,Minority,Hispanic
X212,0.2266,0.5924,0.0159,0.9165,0.159,0.0099,0.0119,0.3698,All Grades,286,NA,NA,Minority,Hispanic
X214,0.1089,0.6975,0.0183,0.8921,0.1696,0.0164,0.0202,0.2476,All Grades,283,NA,NA,Minority,Hispanic
X217,0.1799,0.6844,0.0147,0.8319,0.292,0.0059,0.0118,0.2832,All Grades,279,NA,NA,Minority,Hispanic
X242,0.1076,0.7339,0.0149,0.8655,0.2227,0.0105,0.0433,0.1973,All Grades,274,NA,NA,Minority,Hispanic
X267,0.1447,0.7546,0.0037,0.9231,0.2363,0,0.0201,0.2216,All Grades,282,NA,NA,Minority,Hispanic
X271,0.1149,0.6942,0.0049,0.9126,0.2848,0.0032,0.0227,0.2751,All Grades,278,NA,NA,Minority,Hispanic
