school_name.x,asian,black,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,school_number,grade,mean_scale_score,latitude,longitude,any_lead_free_buildings,number_of_outlets_result_less,number_of_outlets_result_greater,number_of_outlets,county,school_district,lead_percent,minority,largest,race
P.S. 220 Edward Mandel,0.2925,0.0858,0.1786,0.2447,0.0169,0.7609,0.1266,0.3601,Q220,All Grades,309,-73.8514744,40.736464741,No,101,4,105,Queens,NYC DOE,0.0380952380952381,Minority,0.3601,White
York Early College Academy,0.2848,0.5368,0.0082,0.0933,0.0704,0.7758,0.0917,0.0147,Q284,All Grades,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5368,Black
The Emerson School,0.1266,0.5696,0.0759,0.2278,0.0591,0.8143,0.2658,0.0169,Q287,All Grades,282,-73.858900552,40.757871554,No,108,2,110,Queens,NYC DOE,0.01818181818181818,Minority,0.5696,Black
The Academy for Excellence through the Arts,0.3732,0.0191,0.0048,0.1675,0.0287,0.1388,0.0909,0.4115,Q303,All Grades,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4115,White
Queens Collegiate: A College Board School,0.2648,0.5129,0.0893,0.1573,0.0363,0.8079,0.1513,0.0287,Q310,All Grades,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.5129,Black
Redwood Middle School,0.0769,0.8132,0.022,0.0879,0.022,0.8022,0.2198,0,Q332,All Grades,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.8132,Black
PS 354,0.0141,0.9121,0.0369,0.058,0.0123,0.8032,0.1845,0.0035,Q354,All Grades,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.9121,Black
M.S. 358,0.227,0.375,0.188,0.32,0.055,0.781,0.156,0.023,Q358,All Grades,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.375,Black
Queens Gateway to Health Sciences Secondary School,0.4339,0.38,0.0064,0.1232,0.0308,0.7086,0.0757,0.0321,Q680,All Grades,346,-73.80408108,40.708203914,No,54,5,59,Queens,NYC DOE,0.0847457627118644,Minority,0.4339,Asian
"Young Women's Leadership School, Queens",0.2908,0.4811,0.0233,0.1634,0.0485,1,0.1257,0.0162,Q896,All Grades,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.4811,Black
P.S. 015 Jackie Robinson,0.0071,0.9292,0.0118,0.0542,0.0047,0.8538,0.1132,0.0047,Q015,All Grades,297,-73.757235678,40.685786621,No,64,0,64,Queens,NYC DOE,0,Minority,0.9292,Black
P.S. 033 Edward M. Funk,0.4647,0.1641,0.1279,0.2691,0.0582,0.77,0.1212,0.0439,Q033,All Grades,310,-73.734981618,40.726962355,No,99,26,125,Queens,NYC DOE,0.208,Minority,0.4647,Asian
P.S. 034 John Harvard,0.0664,0.7648,0.1077,0.149,0.0072,0.8187,0.1382,0.0126,Q034,All Grades,301,-73.736515671,40.712024093,No,51,8,59,Queens,NYC DOE,0.13559322033898305,Minority,0.7648,Black
P.S. 035 Nathaniel Woodhull,0.2504,0.3733,0.1396,0.2701,0.0653,0.8998,0.1381,0.041,Q035,All Grades,295,-73.769133423,40.713859596,No,132,2,134,Queens,NYC DOE,0.014925373134328358,Minority,0.3733,Black
P.S. 036 Saint Albans School,0,0.8986,0.0284,0.0771,0.0223,1,0.2231,0.002,Q036,All Grades,289,-73.764009811,40.690820215,No,42,1,43,Queens,NYC DOE,0.023255813953488372,Minority,0.8986,Black
Cynthia Jenkins School,0.0197,0.8978,0.052,0.0699,0.009,0.8297,0.1685,0.0036,Q037,All Grades,287,-73.758564506,40.675872214,No,83,19,102,Queens,NYC DOE,0.18627450980392157,Minority,0.8978,Black
P.S. 038 Rosedale,0.0103,0.8564,0.0308,0.1026,0.0051,0.7846,0.2205,0.0256,Q038,All Grades,302,-73.733953799,40.671608929,No,38,8,46,Queens,NYC DOE,0.17391304347826086,Minority,0.8564,Black
P.S. 052 Queens,0.0078,0.8826,0.0372,0.09,0.0157,1,0.182,0.0039,Q052,All Grades,286,-73.767387229,40.661114395,No,55,1,56,Queens,NYC DOE,0.017857142857142856,Minority,0.8826,Black
I.S. 059 Springfield Gardens,0.008,0.8867,0.0318,0.0616,0.0378,0.8032,0.173,0.006,Q059,All Grades,282,-73.753551503,40.681384406,No,91,13,104,Queens,NYC DOE,0.125,Minority,0.8867,Black
P.S. 095 Eastwood,0.4164,0.1146,0.2818,0.4057,0.048,1,0.1033,0.0153,Q095,All Grades,314,-73.783126827,40.710712093,No,64,34,98,Queens,NYC DOE,0.3469387755102041,Minority,0.4164,Asian
Jean Nuzzi Intermediate School,0.3275,0.405,0.0723,0.1973,0.0258,0.6849,0.1302,0.0444,Q109,All Grades,293,-73.747068391,40.720610794,No,77,17,94,Queens,NYC DOE,0.18085106382978725,Minority,0.405,Black
PS/IS 116 William C. Hughley,0.0472,0.6339,0.1063,0.2887,0.0105,1,0.185,0.0197,Q116,All Grades,280,-73.781908154,40.700555097,No,66,5,71,Queens,NYC DOE,0.07042253521126761,Minority,0.6339,Black
P.S. 118 Lorraine Hansberry,0.0235,0.8592,0.0487,0.1119,0.0054,1,0.1588,0,Q118,All Grades,289,-73.765811429,40.703515964,No,57,3,60,Queens,NYC DOE,0.05,Minority,0.8592,Black
P.S. 131 Abigail Adams,0.7341,0.083,0.2178,0.1227,0.0253,0.8508,0.0903,0.0349,Q131,All Grades,323,-73.794099306,40.71683275,No,57,9,66,Queens,NYC DOE,0.13636363636363635,Minority,0.7341,Asian
P.S. 132 Ralph Bunche,0,0.9178,0.0113,0.051,0.017,0.8442,0.1728,0.0142,Q132,All Grades,301,-73.749883315,40.682099635,No,45,4,49,Queens,NYC DOE,0.08163265306122448,Minority,0.9178,Black
P.S. 134 Hollis,0.0218,0.8671,0.1046,0.0937,0.0044,0.8235,0.1983,0.0131,Q134,All Grades,284,-73.755318812,40.707910978,No,55,1,56,Queens,NYC DOE,0.017857142857142856,Minority,0.8671,Black
The Bellaire School,0.3781,0.3134,0.097,0.1871,0.0852,1,0.1214,0.0362,Q135,All Grades,303,-73.757019516,40.720423083,No,176,13,189,Queens,NYC DOE,0.06878306878306878,Minority,0.3781,Asian
